Document ID,Text Comment
USDA-2017-0002-4092,"China should be added to Conflict Minerals Law of 2010. and UN and international rights groups should apply conflict-sensitive approaches to imports from china.
 300 million Chinese in rural areas lack access to safe drinking water. Thousands of dead wildlife floating down the river that supplies Shanghai with its drinking water. Chemical accident leaked benzene, into a tributary of the Huangpu River . Country's most industrial regions are some of the driest, with 45 per cent of the country's gross domestic product produced in water-scarce provinces such as Hebei, Shandong and Shanxi.

America has Good Air and Good Water,.(Air Apps are everywhere now showing American as GREEN..) .. agency needs to stop Fake report , they are inappropriate as they contain errors of omission and/or commission and are neither convincing nor authoritative. 
Many of the conclusions are incomplete, inaccurate, lack objectivity and consequently only serve to confuse the issue. Government initiate as a matter of priority thorough, should ban china imports, t engage across industry and community of real science , and include an advisory process representing the range of interests and concerns.

China has passed United States in 2011 as the largest global GHG emitter and China, India, do not ascribe to international GHG reduction agreements. The emission of the nitrogen dioxide pollutant has gone up significantly in the South Asia region, Chhattisgarh region of India, largest increases occurred over Jamnagar (India), Dhaka (Bangladesh) had the largest increase (79 per cent) of any world city. Pollution in China's waterways remains 'grave, many of waterway tested in nearly 200 rivers was not safe to use. Dongying, near the mouth of the Yellow River, an aviary (bottom) sits silent and empty. The ecology of this regiona critical refueling stop for migratory birds along the East Asia-Australasia flywayhas been damaged . 

CHINA; Shanghai only three percent of the water in the city's rivers and lakes was sufficient quality to be used as water resources for residents. The poor quality of the rest of Shanghais water resources is mainly due to discharges by local Shanghai. The Nature Conservancy in 2016 stated that 73 percent of the water catchment areas that supply surface water, which we depend on for daily consumption, to Shanghai and 29 other major Chinese cities were affected by medium to high pollution levels.

19 of the World's 20 most polluted cities are in Asia, and every year 2 millions of deaths are attributed to pollution.
Issue On October 30, 2009, the U.S. Environmental Protection Agency (EPA) promulgated a rule requiring annual reporting of greenhouse gas data from large greenhouse gas emissions sources in the United States.

EPA reliance on IPCC but the air pollution monitoring were only available in one quarter of the population in China and only a few percent of the population in India, and in both countries, PM2.5 monitoring networks have only been created very recently, so long-term trends cannot be assessed. Indias pollution levels have kept creeping upwards, making 2015 the worst year on record. Out of Indias 89 cities only 17 are covered by the continuous air quality monitoring system, Durgapur, Gorakhpur, Asansol, Shiliguri, Bareilly and Ludhiana are among the most polluted cities .

Air in Mexico City has an annual average of 20 g/m3 of PM2.5 particles. Thats 100% Worse than WHO safe level. (WHO recommends PM2.5 at 10 ) 
PM10 42 Bad unhealthy
PM2.5 20 Red 
Pollution Index: 85.32Bad unhealthy
Pollution Exp Scale: 153.63 high numbers for very polluted cities RED 
Air Pollution 83.33 Very High 
Drinking Water Pollution 61.02 High RED unhealthy
Water Pollution71.61 HighRedunhealthy
Air quality 16.67 Very Low Red unhealthy
Drinking Water Quality38.98 Low Bad unhealthy
Water Quality 28.39 Low Bad unhealthy

Compare to the USA 
TEXAS HOUSTON The air has an annual average of 10 g/m3 of PM2.5 particles. Thats at the WHO safe level. Healthy, GREEN
ALABAMA, Birmingham The air quality has annual average of 11 g/m3 of PM2.5 particles. Thats 10% BETTER than WHO safe level. GREEN
KENTUCKY , Louisville annual average of 11 g/m3 of PM2.5 particles. Thats 10% BETTER than WHO recommended safe level. GREEN
PENNSYLVANIA, Pittsburgh, air quality has an annual average of 10 g/m3 of PM2.5 particles. Thats at the WHO safe level. GREEN

Agency needs to ensure only scientific studies with data available to the public are used when creating policy. increase transparency at the EPA and the BLM, boost confidence in the agencys decision making. improve transparency for the cost of each decision.
Tariffs are needed to protect America and resend and or cancel the 2009 GHG Regulations."
USDA-2017-0002-3245,"It is far past the time to reinstate work requirements in our welfare system. There are far too many able-bodied people being allowed to abuse the system, while preventing true needy recipients from the help they require. As usual, the twisted ways of the left get priority. You people caused it...you fix it!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2755,"Please reinstate work for foodstamps! And the conservative waiver program. Thank you!!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0930,"I support the Conservative waiver reform.  I see too many
of the ""poor"" people abusing the system.  They need
to be more responsible for themselves and not depend
on the rest of the country to continue to support them.
This might also lead to a permanent job for them.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0877,"I know people that are working and receiving benefits.I also know people that can work and are not on government benefits.Obama opened the door for all these people to take advantage of this.Something needs to be done.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0837,"Make people capable of working get a job to feed themselves.I worked hard to feed my family.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1086,"I would like to see people on food stamps go to the elderly, disabled or someone that is down on their luck.  I think food stamps that go to mothers with babies that have no father in their life (many times they are living together but using the system) should be limited to one child  born out of wedlock.  Women are having multiple babies to use the system so they can get more money so they dont have to work.  Believe me I hear these things being talked about in bathroom stalls.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0765,"Please reinstate work requirements for people to receive food stamps.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3975,"Please back work requirements.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0589,"I urge you to reinstate the policy of requiring work for those receiving food stamps and support conservative waiver reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0740,"Please reinstate the working requirements that used to be necessary in order to receive food stamps. So many people who could work are not working because the requirements have been removed, and this is placing a tremendous burden on a system that is strained to the limit as it is. In addition, please support conservative waiver reform as well before our national economic ""house of cards"" collapses under its own inefficiencies.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1092,"If a person is able to work, and chooses not to, why should the rest of the working people support them?
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3180,"Please require work for food stamps. Thank you!
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0651,"Please reinstate work requirements for food stamps.  It is unfair for hardworking Americans to HAVE to pay out of their taxes to freeloaders.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1080,"Please pass welfare reform.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1676,"Support Conservative Waiver Reform
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-2383,"Please Write Your Comment Here
Please reinstate a work requirement to receive food stamps...
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-4058,I concur with the comments submitted by NABR.
USDA-2017-0002-3144,"Stop wasting our resources on people who are able to work but just don't want to. It is costing us too much.
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1544,"DO YOUR JOB
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1171,"I work for every dime I get &amp; spend!  Why cant others do the same?  I also have medical issues &amp; a handicap...
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-3433,"I am demanding that you reinstate work requirements for food stamps
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-1584,"Please Write Your Comment Hereplease quit paying people who wont work. People that are able should be taken off food stamps
Re: Supplemental Nutrition Assistance Program: Requirements and Services for Able-Bodied Adults without Dependents (previously under Docket ID FNS-2018-0004-0001)"
USDA-2017-0002-0423,"My suggestion would be to extend hours of operation without overtime. As a very small scale processor doing just butchery with no slaughter the inspector just comes in once a day to check paperwork, observe us a little, go over labels, questions and such. They aren't hear the full eight hours. Typically they're here about half an hour to two hours depending on their load at other area meat processing plants. It would help us if we were able to operate for ten or twelve hours for the day when we need to without having to call in and request overtime or pay for very costly overtime. This would not negatively affect food safety and it would be a tremendous benefit for processors, especially very small scale butcher shops like us."
